القطاعات,الأضرار  ,العدد,نسبة الضرر,,شرح التصميم
الأضرار البشرية ,الشهداء والمفقودين والمصابين,"110,484",4.65%,,
الأضرار البشرية ,الشهداء,"30,960",1.30%,من  إجمالي سكان غزة,بند رئيسي 1
الأضرار البشرية ,أطفال,"13,500",44%,,ضمن دائرة توزيع نسب البند الرئيسي1
الأضرار البشرية ,إناث,"9,000",29%,,ضمن دائرة توزيع نسب البند الرئيسي1
الأضرار البشرية ,ذكور,"8,460",27%,,ضمن دائرة توزيع نسب البند الرئيسي1
الأضرار البشرية ,المفقودين,"7,000",0.29%,من  إجمالي سكان غزة,بند رئيسي 2
الأضرار البشرية ,المصابين,"72,524",3.05%,من  إجمالي سكان غزة,بند رئيسي 3
الأضرار البشرية ,إصابات شديدة ,"14,026",19%,من إجمالي المصابين,ضمن دائرة توزيع نسب البند الرئيسي3
الأضرار البشرية ,إصابات بالإعاقة,"13,780",19%,من إجمالي المصابين,ضمن دائرة توزيع نسب البند الرئيسي3
الأضرار البشرية ,إصابات متوسطة ,"26,520",37%,من إجمالي المصابين,ضمن دائرة توزيع نسب البند الرئيسي3
الأضرار البشرية ,إصابات طفيفة,"31,978",44%,من إجمالي المصابين,ضمن دائرة توزيع نسب البند الرئيسي3
الأضرار البشرية ,النازحين ,"2,000,000",84.19%,من  إجمالي سكان غزة,بند رئيسي 4
الأضرار البشرية ,مراكز الإيواء,231,,,بند متفرع عن البند الرئيسي 4
الأضرار البشرية ,نسبة إشغال مراكز الإيواء,200%,,,بند متفرع عن البند الرئيسي 4
الأضرار في قطاع الصحة,المستشفيات خرجت عن الخدمة ,212,79%,,بند رئيسي
الأضرار في قطاع الصحة,مركبات الإسعاف المتضررة,31,88.57%,,بند رئيسي
الأضرار في قطاع التعليم ,المنشآت التعليمية المتضررة ,167,84%,,بند رئيسي
الأضرار في قطاع التعليم ,الجامعات ,"1,522",47%,,ضمن دائرة توزيع نسب البند الرئيسي1
الأضرار في قطاع التعليم ,المدارس,29,100%,,ضمن دائرة توزيع نسب البند الرئيسي1
الأضرار في قطاع التعليم ,المراكز التعليمية,395,50%,,ضمن دائرة توزيع نسب البند الرئيسي1
الأضرار في قطاع التعليم ,رياض الأطفال,726,40%,,ضمن دائرة توزيع نسب البند الرئيسي1
الأضرار في قطاع الإيواء والخدمات العامة,الوحدات السكنية المتضررة,372,60%,,بند رئيسي
الأضرار في قطاع الإيواء والخدمات العامة,وحدة سكنية مدمرة كلياً,"322,500",72%,,ضمن دائرة توزيع نسب البند الرئيسي1
الأضرار في قطاع الإيواء والخدمات العامة,وحدة سكنية مدمرة بشكل بليغ,"70,000",15.54%,,ضمن دائرة توزيع نسب البند الرئيسي1
الأضرار في قطاع الإيواء والخدمات العامة,وحدة سكنية مدمرة بشكل جزئي,"22,200",4.93%,,ضمن دائرة توزيع نسب البند الرئيسي1
الأضرار في قطاع الإيواء والخدمات العامة,المنشآت الحكومية المتضررة,"230,300",51.12%,,بند رئيسي
الأضرار في القطاع الثقافي والمؤسساتي,منشآت ثقافية واجتماعية متضررة ,226,81.88%,,بند رئيسي
الأضرار في القطاع الثقافي والمؤسساتي,المؤسسات الإعلامية,784,50%,,
الأضرار في القطاع الثقافي والمؤسساتي,المؤسسات الخيرية,251,72%,,
الأضرار في القطاع الثقافي والمؤسساتي,المساجد المتضررة,352,27%,,
الأضرار في القطاع الثقافي والمؤسساتي,الكنائس المتضررة,506,41%,,
الأضرار في القطاع الثقافي والمؤسساتي,المواقع الأثرية والتراثية والمراكز الثقافي المتضررة,3,100%,,
الأضرار في قطاع البنية التحتية,المعابر المتضررة ,275,85%,,بند رئيسي
الأضرار في قطاع البنية التحتية,الطرق (أسفلت)/ كم,3,38%,,بند رئيسي
الأضرار في قطاع البنية التحتية,تدمير شبكات المياه /كم,"1,294",,,بند رئيسي
الأضرار في قطاع البنية التحتية,تدمير شبكات المياه العادمة /م,"1,944",,,بند رئيسي
الأضرار في قطاع البنية التحتية,الآبار المتضررة,826,,,بند رئيسي
الأضرار في قطاع الاقتصادي,المنشآت التجارية المتضررة,279,6%,,بند رئيسي
الأضرار في قطاع الاقتصادي,الأسواق الشعبية  المتضررة,"12,267",46%,,بند رئيسي
الأضرار في قطاع الاقتصادي,المنشآت السياحية المتضررة,16,59%,,بند رئيسي
الأضرار في قطاع الاقتصادي,البنوك المتضررة,129,80%,,بند رئيسي
الأضرار في قطاع الاقتصادي,الأراضي الزراعية المتضررة/م2,9,82%,,بند رئيسي
الأضرار في قطاع الاقتصادي,المنشآت الصناعية المتضررة,"75,640",40%,,بند رئيسي
الأضرار في قطاع الاقتصادي,ميناء صيد متضرر,"2,101",43.67%,,بند رئيسي
الأضرار في قطاع الاقتصادي,مراكب الصيد المتضررة,2,100.00%,,بند رئيسي
الأضرار في قطاع الاقتصادي,الأشخاص الذين فقدوا أو تعطلت أعمالهم,173,17.93%,,بند رئيسي
الأضرار في قطاع البيئي,القنابل,"393,000",67.41%,,بند رئيسي
الأضرار في قطاع البيئي,القنابل التي ألقيت على قطاع غزة بالطن,,,,بند متفرع عن البند الرئيسي 1
الأضرار في قطاع البيئي,متوسط القنابل لكل كم2,"70,000",,,بند متفرع عن البند الرئيسي 1
الأضرار في قطاع البيئي,القنابل تعادل بالقنابل النووية,192,,,بند متفرع عن البند الرئيسي 1
الأضرار في قطاع البيئي, أنقاض مخلفات الحرب والردم بالطن,5,,,بند متفرع عن البند الرئيسي 1
الأضرار في قطاع البيئي, النفايات الصلبة بالطن,"25,864,446",,,بند متفرع عن البند الرئيسي 1
الأضرار في قطاع البيئي,المخلفات الطبية بالطن,"1,757,929",,,بند متفرع عن البند الرئيسي 1
الأضرار في قطاع الحكم الرشيد,وجود خطة تشاركية للإغاثة وإعادة الإعمار والتنمية,799,,,
الأضرار في قطاع الحكم الرشيد,منشآت الدفاع المدني المتضررة ,16.7%,83.3%,,
الأضرار في قطاع الحكم الرشيد,آليات الدفاع المدني المتضررة,13,72.22%,,
الأضرار في قطاع الحكم الرشيد,آليات البلديات المتضررة,80,66.67%,,
الأضرار في قطاع الحكم الرشيد,نسبة خدمات المياه المستمرة خلال العدوان,472,71.52%,,
الأضرار في قطاع الحكم الرشيد,نسبة خدمات معالجة مياه الصرف الصحي المستمرة خلال العدوان,20%,80%,,
الأضرار في قطاع الحكم الرشيد,نسبة خدمات جمع النفايات الصلبة المستمرة خلال العدوان,0.00%,100%,,
الأضرار في قطاع الحكم الرشيد,نسبة وصول الإغاثة إلى المتضررين,20%,80%,,
